name,start,end,shares,cash,eqshares,gain,value,excess,cycles,open,sells,buys,cashdays,mdd,cagr,period
hold,2013-01-01,2026-07-31,125,0,125.0,0.0,214750000.0,0.0,0,0,0,0,0,-54.71051730044536,36.11214192616132,full
current_4of4,2013-01-01,2026-07-31,125,0,125.0,0.0,214750000.0,0.0,0,0,0,0,0,-54.71051730044536,36.11214192616132,full
moderate_3of4,2013-01-01,2026-07-31,117,1204286,117.70098149883586,-7.2990185011641415,202210286.0,-5.839214800931314,2,1,6,2,1417,-54.51827371655074,35.510175378686945,full
robust_selected,2013-01-01,2026-07-31,125,0,125.0,0.0,214750000.0,0.0,0,0,0,0,0,-54.71051730044536,36.11214192616132,full
hold,2023-01-01,2026-07-31,125,0,125.0,0.0,214750000.0,0.0,0,0,0,0,0,-54.71051730044536,139.98258434633573,oos
current_4of4,2023-01-01,2026-07-31,125,0,125.0,0.0,214750000.0,0.0,0,0,0,0,0,-54.71051730044536,139.98258434633573,oos
moderate_3of4,2023-01-01,2026-07-31,115,1835545,116.068419717695,-8.931580282305006,199405545.0,-7.145264225844006,0,1,2,0,591,-54.41298394418932,135.0582306534117,oos
robust_selected,2023-01-01,2026-07-31,125,0,125.0,0.0,214750000.0,0.0,0,0,0,0,0,-54.71051730044536,139.98258434633573,oos
hold,2024-01-01,2026-07-31,125,0,125.0,0.0,214750000.0,0.0,0,0,0,0,0,-54.71051730044536,164.86052694896415,ai
current_4of4,2024-01-01,2026-07-31,125,0,125.0,0.0,214750000.0,0.0,0,0,0,0,0,-54.71051730044536,164.86052694896415,ai
moderate_3of4,2024-01-01,2026-07-31,115,2591915,116.50868182479627,-8.49131817520373,200161915.0,-6.793054540162979,0,1,2,0,373,-54.29131922774202,157.72619344125337,ai
robust_selected,2024-01-01,2026-07-31,125,0,125.0,0.0,214750000.0,0.0,0,0,0,0,0,-54.71051730044536,164.86052694896415,ai
